month	EM1_HollowSurf	EM1_Hollow5cm	EM1_Hollow20cm	EM1_Hollow40cm	EM1_Hollow80cm	EM1_Hollow160cm	EM1_Hollow200cm
2	-0.571875	-0.3725	0.2830625	0.999395833	2.3655	4.53675	5.1791875
2	-0.614166667	-0.370208333	0.3090625	1.0275	2.39225	4.565395833	5.210458333
3	-0.689166667	-0.408541667	0.282854167	0.990854167	2.340375	4.504604167	5.150916667
3	-0.900416667	-0.497291667	0.262666667	0.975583333	2.322708333	4.485083333	5.137083333
3	-0.922916667	-0.497916667	0.279375	0.993145833	2.336875	4.497895833	5.149625
3	-0.685833333	-0.354604167	0.36775	1.070416667	2.4009375	4.555791667	5.206354167
3	-0.688541667	-0.356458333	0.369604167	1.0815	2.4176875	4.574875	5.232041667
3	-0.472708333	-0.1878125	0.50475	1.2063125	2.531395833	4.6810625	5.33375
3	-0.463125	-0.229583333	0.4265	1.119770833	2.437833333	4.585791667	5.2375625
3	-0.370041667	-0.172854167	0.460125	1.153270833	2.467458333	4.608125	5.267854167
3	-0.3025	-0.125833333	0.487875	1.173583333	2.483583333	4.624729167	5.28175
3	-0.180291667	-0.036479167	0.556958333	1.238520833	2.540541667	4.678229167	5.337541667
3	-0.0716875	-0.0304375	0.496104167	1.169458333	2.4644375	4.596479167	5.256458333
3	-0.154083333	-0.107479167	0.4106875	1.081916667	2.3731875	4.500729167	5.1678125
3	-0.065270833	-0.000208333	0.523958333	1.193458333	2.483270833	4.611729167	5.278791667
3	-0.129583333	-0.08875	0.406916667	1.06	2.336791667	4.459520833	5.122479167
3	-0.163895833	-0.1195625	0.372208333	1.0228125	2.292645833	4.408208333	5.077895833
3	-0.199541667	-0.1279375	0.378375	1.031125	2.299104167	4.412645833	5.086854167
3	-0.147083333	-0.0623125	0.443583333	1.087541667	2.346416667	4.457541667	5.128375
3	-0.16	-0.072020833	0.434395833	1.073208333	2.323979167	4.432333333	5.1044375
3	-0.143958333	-0.067	0.4294375	1.0608125	2.304229167	4.408541667	5.080604167
3	-0.080958333	-0.001291667	0.4988125	1.1301875	2.368208333	4.467145833	5.144270833
3	-0.125833333	-0.0658125	0.4149375	1.033708333	2.2585625	4.3516875	5.024666667
3	-0.206708333	-0.143979167	0.340125	0.9600625	2.181479167	4.266875	4.947416667
3	-0.239354167	-0.173458333	0.309604167	0.926145833	2.141125	4.221020833	4.904104167
3	-0.235520833	-0.1349375	0.364333333	0.983458333	2.196854167	4.2751875	4.9604375
3	-0.2501875	-0.1494375	0.347895833	0.9578125	2.160041667	4.232645833	4.916916667
3	-0.273333333	-0.1429375	0.375666667	0.994145833	2.1995625	4.2736875	4.9628125
3	-0.18625	-0.0809375	0.4154375	1.015958333	2.205708333	4.2721875	4.953270833
3	-0.1405625	-0.030104167	0.473020833	1.076333333	2.261604167	4.3203125	5.005854167
3	-0.106791667	0.007375	0.513833333	1.115666667	2.297541667	4.354395833	5.042291667
3	-0.0783125	0.017104167	0.511541667	1.104666667	2.279020833	4.332645833	5.017229167
3	-0.065666667	-0.0070625	0.456020833	1.048479167	2.213291667	4.254708333	4.937125
4	-0.102104167	-0.053583333	0.371645833	1.000729167	2.171375	4.214	4.9055
4	-0.057291667	0.004416667	0.4240625	1.05225	2.229104167	4.263458333	4.956
4	-0.072166667	-0.019291667	0.382958333	1.003666667	2.18275	4.215520833	4.902729167
4	-0.033979167	0.013104167	0.408291667	1.022791667	2.201770833	4.232375	4.922270833
4	-0.046479167	0.0104375	0.411145833	1.025520833	2.205854167	4.2345	4.927708333
4	-0.020479167	0.012479167	0.399104167	1.019458333	2.197229167	4.2253125	4.916291667
4	0.004770833	0.034166667	0.406125	1.042125	2.222083333	4.246583333	4.939520833
4	0.0085625	0.038333333	0.407395833	1.018458333	2.1965	4.216520833	4.9085
4	0.014375	0.054833333	0.428729167	1.034770833	2.212625	4.232395833	4.924916667
4	-0.002291667	0.0180625	0.363583333	0.9761875	2.147208333	4.162416667	4.853958333
4	-0.0245	0.008041667	0.351083333	0.964229167	2.1395	4.154770833	4.848229167
4	-0.037020833	-0.000583333	0.341083333	0.937354167	2.108166667	4.117395833	4.8119375
4	-0.045604167	-0.011666667	0.326270833	0.913229167	2.075395833	4.081541667	4.781520833
4	-0.101958333	-0.0701875	0.2685	0.848979167	2.0051875	4.008895833	4.711833333
4	-0.088770833	-0.050916667	0.291916667	0.8786875	2.030041667	4.029604167	4.734333333
4	-0.088958333	-0.050583333	0.283104167	0.8710625	2.0208125	4.021854167	4.726520833
4	-0.0618125	-0.030020833	0.294020833	0.875625	2.019020833	4.013708333	4.716
4	-0.011208333	0.034875	0.372666667	0.9523125	2.093208333	4.0871875	4.7944375
