Group.1	EM1_HollowSurf	EM1_Hollow5cm	EM1_Hollow20cm	EM1_Hollow40cm	EM1_Hollow80cm	EM1_Hollow160cm	EM1_Hollow200cm
112	2.6439375	2.122958333	1.463458333	1.3991875	2.117145833	3.907020833	4.541375
113	2.7935625	2.387833333	1.806979167	1.583270833	2.135916667	3.908270833	4.5435625
114	3.7	3.254	2.336333333	1.761166667	2.154104167	3.895	4.531145833
115	5.411625	4.926125	3.361083333	2.048270833	2.224	3.924125	4.562458333
116	6.098270833	5.871458333	4.3365	2.408145833	2.2430625	3.893125	4.531604167
117	4.289020833	4.523041667	4.2225	2.790375	2.276666667	3.8569375	4.49425
118	4.471666667	4.025208333	3.550895833	2.98275	2.398520833	3.8995	4.539083333
119	5.789854167	5.454333333	4.302604167	3.069729167	2.497708333	3.905020833	4.541958333
120	6.479854167	6.29025	4.993166667	3.26925	2.537583333	3.851708333	4.489895833
121	4.275270833	4.514041667	4.5503125	3.476625	2.557770833	3.7761875	4.408166667
122	3.957916667	3.751833333	3.756875	3.570583333	2.728083333	3.8559375	4.4879375
123	5.339333333	5.020541667	4.244020833	3.521895833	2.813729167	3.848625	4.467479167
124	6.8205	6.485375	5.0986875	3.6599375	2.914083333	3.867541667	4.479354167
125	7.550520833	7.352979167	5.843895833	3.880895833	2.932854167	3.816270833	4.425083333
126	6.7626875	6.352083333	5.527791667	4.2266875	3.075833333	3.880291667	4.482583333
127	9.183791667	8.722270833	6.6798125	4.396479167	3.124979167	3.843125	4.43775
128	9.414583333	8.999583333	7.245395833	4.77825	3.223708333	3.853729167	4.4414375
129	9.709791667	9.422916667	7.721375	5.143791667	3.319625	3.849708333	4.428625
130	9.889166667	9.387291667	7.811041667	5.485291667	3.456875	3.875854167	4.441166667
131	11.171875	10.30104167	8.168229167	5.7396875	3.5811875	3.878666667	4.428958333
132	11.47895833	11.08541667	8.885416667	6.133520833	3.810520833	3.963020833	4.4928125
133	9.938333333	10.05604167	8.845	6.3579375	3.8719375	3.892	4.4175625
134	9.209583333	9.184791667	8.484375	6.5968125	4.065875	3.948	4.46275
135	9.114604167	8.984229167	8.203	6.638666667	4.194708333	3.942020833	4.4416875
136	9.3973125	9.167354167	8.20075	6.673833333	4.352791667	3.975833333	4.461041667
137	9.937416667	9.6375	8.3638125	6.7401875	4.497770833	4.006791667	4.470583333
138	10.00841667	9.62375	8.416041667	6.792395833	4.600104167	4.021041667	4.4728125
139	12.2625	11.18395833	8.743333333	6.854416667	4.678645833	4.015666667	4.4476875
140	12.563125	11.62	9.209375	7.014833333	4.777958333	4.042270833	4.455645833
141	12.41145833	11.81541667	9.5975	7.200479167	4.8446875	4.040541667	4.4363125
142	12.57104167	11.784375	9.7225	7.444125	4.9739375	4.098104167	4.4741875
143	12.71895833	12.19416667	10.075625	7.611479167	5.0495625	4.098020833	4.453604167
144	11.21083333	11.21583333	10.063125	7.819375	5.159833333	4.1289375	4.464916667
145	10.511875	10.48770833	9.755208333	7.975979167	5.314604167	4.2	4.515354167
146	10.296875	10.33875	9.636458333	7.9968125	5.411375	4.212041667	4.506020833
147	9.7884375	9.934791667	9.472083333	7.990833333	5.492041667	4.211625	4.484625
148	10.85208333	10.42895833	9.357083333	8.009625	5.623625	4.273729167	4.528
149	11.49270833	10.89729167	9.508333333	8.022916667	5.725791667	4.317416667	4.551791667
150	11.88583333	11.40875	9.814583333	8.070166667	5.7906875	4.3321875	4.545895833
151	13.070625	12.17791667	10.01791667	8.152458333	5.836395833	4.333479167	4.524270833
152	11.72979167	11.56104167	10.26645833	8.30875	5.931354167	4.395270833	4.570875
153	11.26	11.04395833	10.134375	8.449791667	6.025416667	4.444708333	4.5955
154	13.560625	12.45270833	10.25854167	8.479791667	6.069208333	4.442916667	4.5751875
155	13.19666667	12.61270833	10.63125	8.59	6.149875	4.4816875	4.593020833
156	13.08333333	12.49208333	10.81666667	8.791875	6.280520833	4.568416667	4.662604167
157	15.751875	14.19375	11.19083333	8.940833333	6.364208333	4.606708333	4.682854167
158	16.22729167	14.95083333	11.81791667	9.13	6.4195	4.612541667	4.668729167
159	13.99729167	13.92479167	12.12291667	9.385416667	6.492458333	4.632729167	4.669895833
160	13.15125	12.91645833	11.804375	9.616041667	6.6240625	4.705979167	4.725979167
161	13.18645833	12.85770833	11.61229167	9.665833333	6.722479167	4.734479167	4.738416667
162	13.12854167	12.83458333	11.57395833	9.685833333	6.798916667	4.741666667	4.723333333
163	12.993125	12.64229167	11.51895833	9.725	6.896708333	4.775541667	4.739729167
164	13.21333333	12.793125	11.540625	9.769791667	6.996770833	4.822375	4.7694375
165	14.88020833	13.72291667	11.676875	9.847083333	7.1188125	4.896145833	4.828604167
166	13.67604167	13.42520833	11.94604167	9.899583333	7.165625	4.900354167	4.814145833
167	13.96145833	13.346875	11.88854167	10.00979167	7.25	4.94675	4.843770833
168	14.39541667	13.57479167	11.93854167	10.10416667	7.360916667	5.023125	4.903104167
169	14.44854167	13.90229167	12.18708333	10.15604167	7.406270833	5.0285	4.889229167
170	14.51083333	13.89020833	12.28125	10.27854167	7.488979167	5.0756875	4.919520833
171	14.24020833	13.79666667	12.31979167	10.3675	7.559208333	5.110416667	4.936875
172	13.63083333	13.425625	12.34604167	10.480625	7.668333333	5.182729167	4.991770833
173	13.76145833	13.54979167	12.41166667	10.53354167	7.7324375	5.206916667	4.99725
174	13.14333333	13.05854167	12.26041667	10.56645833	7.788833333	5.228708333	5.0020625
175	13.41375	13.00541667	12.06791667	10.60833333	7.896645833	5.302458333	5.058791667
176	14.76208333	14.02458333	12.27104167	10.58916667	7.954479167	5.331416667	5.073166667
177	14.74333333	14.22145833	12.5875	10.67208333	8.027958333	5.3805	5.106104167
178	14.76	14.568125	13.02458333	10.78041667	8.064479167	5.394020833	5.101708333
179	14.530625	14.22333333	12.95666667	10.944375	8.151854167	5.463104167	5.156916667
180	14.98041667	14.60479167	13.19958333	11.08229167	8.248125	5.532270833	5.209708333
181	16.62541667	15.99729167	13.88354167	11.20145833	8.273541667	5.522520833	5.183541667
182	18.6775	17.753125	14.80770833	11.51291667	8.364583333	5.578958333	5.2265
183	18.71	18.303125	15.65583333	11.904375	8.425625	5.5933125	5.222645833
184	17.78145833	17.44104167	15.60833333	12.325	8.5625	5.672708333	5.289520833
